단어,포함된 문장
프맥,14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사
프맥,14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사람이 승자네        14프맥 쓰는 사
프맥,14프맥 승
프맥,14프맥사세요 걍
프맥,14프맥 승
한녀특,관상같은거 진지하게 믿는 한녀특) 찢빠임
한몫함,똥양이 서양보다 뒤처진거에 표음문자 라틴글자 안쓰고 좆자쓴거도 한몫함
핵오염수,핵오염수막으려고 목숨건사람을 조롱하고있네;  이러면 이럴수록 mz세대들은 더욱더 민주당지지할텐데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
호날두룰,"젖닌이라서, 호날두룰 좋게 평가한다는논리성 인과성을 모두 갖추고있는 훌륭한 말인데,위에서 점유율은 훌륭하고, 젖닌이냐는 시원찮다는게 뭔말이지"
홍머병,홍머병
홍어좌빨,대놓고 패드립부터 박는 홍어좌빨 디씨 앰생놈들은 제한된 어법 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
훠어,훠어어어어어어좌빨 영포티들이 헬조선이란 단어 만든 박근혜 시절 서울 모며 사망으로 갬정 선동 500배 돌렸음킹치만 문재앙 시절엔?살자 뉴스? 너무 일상이라 방송 안보냄 일가족 살자?평밤한 일상됨 킹치만 공영방송 안나옴 찾아봐라 문재앙 강점기 일가족 검색 ㅋㅋ재앙이 낚시질에 걸린 영끌러 코인추종 병신들 수도 없이 한강 살자 점프 중 훠어어어어어
